kpn,parent_kpn
KPN852,KPN431
KPN853,KPN531
KPN854,KPN507
KPN855,KPN505
KPN856,KPN517
KPN857,KPN505
KPN858,KPN413
KPN859,KPN497
KPN860,KPN506
KPN861,KPN572
KPN862,KPN507
KPN863,KPN500
KPN864,KPN486
KPN865,KPN486
KPN866,KPN480
KPN867,KPN480
KPN868,KPN480
KPN869,KPN709
KPN870,KPN565
KPN871,KPN506
KPN872,KPN769
KPN873,KPN771
KPN874,KPN506
KPN875,KPN506
KPN876,KPN497
KPN877,KPN709
KPN878,KPN606
KPN879,KPN505
KPN880,KPN497
KPN881,KPN497
KPN882,KPN505
KPN883,KPN505
KPN884,KPN505
KPN885,KPN606
KPN886,KPN480
KPN887,KPN497
KPN888,KPN486
KPN889,KPN506
KPN890,KPN506
KPN891,KPN486
KPN892,KPN486
KPN893,KPN588
KPN894,KPN716
KPN895,KPN716
KPN896,KPN626
KPN897,KPN565
KPN898,KPN588
KPN899,KPN413
KPN900,KPN758
KPN901,KPN550
KPN902,KPN605
KPN903,KPN606
KPN904,KPN521
KPN905,KPN566
KPN906,KPN606
KPN907,KPN505
KPN908,KPN507
KPN909,KPN505
KPN910,KPN507
KPN911,KPN588
KPN912,KPN588
KPN913,KPN507
KPN914,KPN486
KPN915,KPN506
KPN916,KPN506
KPN917,KPN486
KPN918,KPN725
KPN919,KPN588
KPN920,KPN631
KPN921,KPN588
KPN922,KPN641
KPN923,KPN413
KPN924,KPN538
KPN925,KPN626
KPN926,KPN626
KPN927,KPN642
KPN928,KPN507
KPN929,KPN642
KPN930,KPN507
KPN931,KPN588
KPN932,KPN588
KPN933,KPN538
KPN934,KPN606
KPN935,KPN606
KPN936,KPN642
KPN937,KPN538
KPN938,KPN642
KPN939,KPN593
KPN940,KPN606
KPN941,KPN641
KPN942,KPN658
KPN943,KPN758
KPN944,KPN828
KPN945,KPN606
KPN946,KPN641
KPN947,KPN783
KPN948,KPN565
KPN949,KPN642
KPN950,KPN642
KPN951,KPN642
KPN952,KPN642
KPN953,KPN586
KPN954,KPN628
KPN955,KPN626
KPN956,KPN586
KPN957,KPN642
KPN958,KPN586
KPN959,KPN628
KPN960,KPN586
KPN961,KPN586
KPN962,KPN538
KPN963,KPN593
KPN964,KPN628
KPN965,KPN628
KPN966,KPN593
KPN967,KPN593
KPN968,KPN676
KPN969,KPN626
KPN970,KPN612
KPN971,KPN792
KPN972,KPN689
KPN973,KPN802
KPN974,KPN878
KPN975,KPN676
KPN976,KPN683
KPN977,KPN797
KPN978,KPN390
KPN979,KPN654
KPN980,KPN828
KPN981,KPN772
